21458695,H3,H6,O8,H3,H8,H1,H4,H1,
21929116,O4,O8,O7,H7,O8,H3,H3,H5,H6
21337254,H8,H3,H8,H7,H7,H4,,,
21127094,O4,O3,O2,H3,O6,O5,H4,,
21821974,H3,O5,O2,H3,H8,H4,H2,H7,H7
21459758,H5,H1,H2,H7,O6,H6,O3,,
21133522,H8,H3,H1,H1,H5,H7,H3,H2,O3
21043881,H8,O4,O3,O4,O7,O8,H3,O1,
21998245,H1,H7,H3,O1,O6,O2,,,
21851483,H1,H6,O5,H3,O2,H5,O4,H4,H8
21201332,H6,O5,H4,O3,H4,H7,O2,H1,
21028463,O4,H2,H8,O5,H3,H6,H6,O7,O6
21959614,H1,H6,H4,H5,H6,H5,,,
21106070,H6,H1,H7,O8,H7,H6,H3,H5,H1
21379843,H8,H5,H1,H1,O3,H3,H1,O5,
21727672,H6,H1,H7,H7,H4,O5,,,
21683213,H7,H2,H1,H4,H4,O4,H1,H1,
21514077,H5,H2,O6,O7,O3,O2,,,
21153702,H2,H2,H7,H7,H3,H8,,,
21612044,H8,H2,H8,O7,O6,H5,H6,H7,
20278748,H1,H1,H2,H2,H2,H3,O1,,
